PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40072500,Preparation of capecitabine-poly(p-dioxanone) electrospraying nanoparticles and influence of particle size on their colorectal cancer inhibitive efficiency.,2025 Mar 12,"Huang C, Yang C, Feng C, Dong J, Wang B",", , , , ",N/A
40072471,Survey of the impact of BOLT-trial data on oncologists' and dermatologists' decision-making in treating patients with locally advanced basal cell carcinoma.,2025 Feb 6,"Scarpato L, Palla M, Strippoli S, Tagliaferri L, Fania L, Saponara M, Carbone A, Spagnolo F, Silvestri F, Ascierto PA",", , , , , , , , , ",N/A
40072456,Characterizing Chronic Cutaneous Immune-Related Adverse Events Following Immune Checkpoint Inhibitors.,2025 Mar 12,"Fletcher KA, Goodman RS, Lawless A, Woodford R, Fa'ak F, Tipirneni A, Patrinely JR, Yeoh HL, Rapisuwon S, Haydon A, Osman I, Mehnert JM, Long GV, Sullivan RJ, Carlino MS, Menzies AM, Dewan AK, Johnson DB",", , , , , , , , , , , , , , , , , ",N/A
40072452,Evaluation of the European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire Core 15 Palliative Care and the Functional Assessment of Chronic Illness Therapy-Palliative in assessing the quality of life in patients with advanced cancer.,2025 Mar 12,"Tur P, Oldenburger E, Bottomley A, Cella D, Lee SF, Chan AW, Marta GN, Jacobs T, Chow E, Wong HCY, Rembielak A",", , , , , , , , , , ",N/A
40072448,Precision Exercise Effect on Fatigue and Function in Lung Cancer Surgery: A Randomized Clinical Trial.,2025 Mar 12,"Ulrich CM, Himbert C, Barnes CA, Boucher KM, Daniels B, Bandera VM, Ligibel JA, Wetter DW, Hess R, Kim J, Lundberg K, Mitzman B, Marcus R, Finlayson SRG, LaStayo PC, Varghese TK Jr",", , , , , , , , , , , , , , , ",N/A
40072437,Exercise and Psychosexual Education to Improve Sexual Function in Men With Prostate Cancer: A Randomized Clinical Trial.,2025 Mar 3,"Galvão DA, Newton RU, Taaffe DR, Cormie P, Schumacher O, Nelson CJ, Gardiner RA, Spry N, Joseph D, Tang C, Luo H, Chee R, Hayne D, Chambers SK",", , , , , , , , , , , , , ",N/A
40072432,Frailty Trajectories Following Adjuvant Chemotherapy and Mortality in Older Women With Breast Cancer.,2025 Mar 3,"Duchesneau ED, Kim DH, Stürmer T, Her Q, Zhang Z, Pajewski NM, Klepin HD, Callahan KE, Lund JL",", , , , , , , , ",N/A
40072398,Ultrahypofractionation and Simultaneous Integrated Boost in Breast Cancer: Early Side Effects Analysis.,2025 Mar 10,"Dzhugashvili M, Serradilla A, Fernández-Ibiza J, García G, Malinochka KM, Torres L, Seral A, Begara J, Gonsalves D, Troca JJC, Poortmans P, Couñago F, López E",", , , , , , , , , , , , ",N/A
40072351,Targeting RNA Polymerase I in Ewing Sarcoma Treatment.,2025 Mar 12,"Bruce A, Anchondo G, Carter R, Guerrero Pacheco S, Kambala HS, Cortez E, Parker K, Su L",", , , , , , , ",N/A
40072332,UCNPs@PVP-Hemin-GOx@CaCO(3) Nanoplatform for Ferroptosis Self-Amplification Combined with Calcium Overload.,2025 Mar 12,"Xu Y, Ren M, Deng R, Meng J, Xu L, Zhao W, Ni Y, Mao C, Zhang S",", , , , , , , , ",N/A
