PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40072500,Preparation of capecitabine-poly(p-dioxanone) electrospraying nanoparticles and influence of particle size on their colorectal cancer inhibitive efficiency.,2025 Mar 12,,,N/A
40072471,Survey of the impact of BOLT-trial data on oncologists' and dermatologists' decision-making in treating patients with locally advanced basal cell carcinoma.,2025 Feb 6,,,N/A
40072456,Characterizing Chronic Cutaneous Immune-Related Adverse Events Following Immune Checkpoint Inhibitors.,2025 Mar 12,,,N/A
40072452,Evaluation of the European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire Core 15 Palliative Care and the Functional Assessment of Chronic Illness Therapy-Palliative in assessing the quality of life in patients with advanced cancer.,2025 Mar 12,,,N/A
40072448,Precision Exercise Effect on Fatigue and Function in Lung Cancer Surgery: A Randomized Clinical Trial.,2025 Mar 12,,,N/A
40072437,Exercise and Psychosexual Education to Improve Sexual Function in Men With Prostate Cancer: A Randomized Clinical Trial.,2025 Mar 3,,,N/A
40072432,Frailty Trajectories Following Adjuvant Chemotherapy and Mortality in Older Women With Breast Cancer.,2025 Mar 3,,,N/A
40072398,Ultrahypofractionation and Simultaneous Integrated Boost in Breast Cancer: Early Side Effects Analysis.,2025 Mar 10,,,N/A
40072351,Targeting RNA Polymerase I in Ewing Sarcoma Treatment.,2025 Mar 12,,,N/A
40072332,UCNPs@PVP-Hemin-GOx@CaCO(3) Nanoplatform for Ferroptosis Self-Amplification Combined with Calcium Overload.,2025 Mar 12,,,N/A
